b_true,b_estimated,error
245.7,228.00949059664111,17.690509403358888
232.8,228.00949059664111,4.790509403358908
219.75,228.00949059664111,-8.259490596641108
245.75,232.0311626758358,13.7188373241642
252.1,232.0311626758358,20.0688373241642
245.0,232.0311626758358,12.968837324164209
230.2,232.0311626758358,-1.8311626758358044
237.6,232.0311626758358,5.568837324164202
235.25,232.0311626758358,3.2188373241642076
290.15,232.0311626758358,58.11883732416418
302.25,232.0311626758358,70.21883732416421
284.7,232.0311626758358,52.66883732416419
250.14999999999998,232.0311626758358,18.118837324164186
240.7,232.0311626758358,8.668837324164194
264.95,232.0311626758358,32.9188373241642
210.45,222.06020793236763,-11.610207932367649
214.39999999999998,222.06020793236763,-7.660207932367658
256.15,229.29208052422555,26.857919475774423
254.0,229.29208052422555,24.70791947577445
247.5,229.29208052422555,18.20791947577445
222.75,223.30769253726532,-0.5576925372653244
217.75,223.30769253726532,-5.557692537265329
214.64999999999998,223.30769253726532,-8.65769253726535
228.75,226.89243717188958,1.8575628281104046
213.1,226.89243717188958,-13.792437171889599
204.25,226.89243717188958,-22.642437171889593
210.0,226.89243717188958,-16.8924371718896
220.75,226.89243717188958,-6.142437171889599
228.25,226.89243717188958,1.3575628281104015
228.14999999999998,231.37621068407836,-3.2262106840783837
231.95,251.43176534212108,-19.481765342121076
233.3,251.43176534212108,-18.131765342121053
229.64999999999998,251.43176534212108,-21.781765342121084
224.35,239.3813810215175,-15.031381021517513
206.45,239.3813810215175,-32.93138102151752
219.8,239.3813810215175,-19.581381021517494
212.8,239.3813810215175,-26.58138102151749
204.2,239.3813810215175,-35.18138102151752
205.85,239.3813810215175,-33.53138102151751
223.35,238.71081443055,-15.360814430549985
203.15,238.71081443055,-35.560814430549975
218.95,238.71081443055,-19.760814430549992
228.14999999999998,227.88251053668205,0.2674894633179332
215.85,227.88251053668205,-12.03251053668205
218.8,227.88251053668205,-9.082510536682031
233.1,227.88251053668205,5.217489463317952
235.6,227.88251053668205,7.717489463317953
203.95,227.88251053668205,-23.932510536682056
213.55,227.88251053668205,-14.33251053668203
249.55,224.0418616181417,25.508138381858327
229.5,224.0418616181417,5.458138381858306
240.05,224.0418616181417,16.00813838185832
230.64999999999998,224.0418616181417,6.608138381858286
222.85,224.0418616181417,-1.1918616181416954
203.45,224.0418616181417,-20.591861618141703
241.14999999999998,224.0418616181417,17.108138381858286
243.8,224.0418616181417,19.758138381858316
234.14999999999998,224.0418616181417,10.108138381858288
263.5,247.6557889726583,15.844211027341688
250.25,247.6557889726583,2.594211027341685
242.14999999999998,247.6557889726583,-5.505788972658326
260.4,247.6557889726583,12.744211027341668
260.6,247.6557889726583,12.94421102734171
250.1,247.6557889726583,2.4442110273416837
194.45,210.439584325901,-15.989584325901006
191.95,210.439584325901,-18.489584325901006
187.45,210.439584325901,-22.989584325901006
193.6,210.439584325901,-16.839584325901
196.25,210.439584325901,-14.189584325900995
193.8,210.439584325901,-16.639584325900987
189.25,212.49075280653636,-23.240752806536378
183.7,212.49075280653636,-28.79075280653639
178.5,212.49075280653636,-33.99075280653638
200.5,212.49075280653636,-11.990752806536378
183.7,212.49075280653636,-28.79075280653639
180.85,212.49075280653636,-31.640752806536383
184.35,212.49075280653636,-28.140752806536383
180.75,212.49075280653636,-31.740752806536378
184.05,212.49075280653636,-28.440752806536366
198.14999999999998,212.49075280653636,-14.3407528065364
182.1,212.49075280653636,-30.390752806536383
201.1,213.1139296132732,-12.01392961327321
225.35,213.1139296132732,12.236070386726789
210.89999999999998,213.1139296132732,-2.2139296132732276
223.89999999999998,213.1139296132732,10.786070386726774
217.75,213.1139296132732,4.636070386726796
214.95,213.1139296132732,1.8360703867267847
250.6,210.5098534057738,40.090146594226184
264.2,210.5098534057738,53.69014659422618
262.29999999999995,210.5098534057738,51.79014659422614
264.9,210.5098534057738,54.39014659422617
258.6,210.5098534057738,48.09014659422621
273.6,210.5098534057738,63.090146594226205
