k,b
-0.035515736080237836,163.6596620854245
-0.45241771571580724,262.4354054678281
0.17756874034776815,65.19768469063487
0.6105848641523952,-8.391993371409985
-0.18411904734726572,163.50999198893325
-0.208955303311216,183.40300613273777
0.07483152742959127,129.86574827845783
0.16390041200745512,50.852698057552
-0.034287440686024406,143.54139905929733
-0.023809523809524107,147.14285714285722
0.21336421125264016,79.71849054861971
-0.29504593064961976,186.7678420512727
0.5483877645256002,-71.61316008751365
0.12610565424068818,87.02321802802365
-0.1848621244212888,197.38913813049533
0.026448274983918496,105.95090721954196
-0.22378259260866662,186.81340021134255
-0.8049225211125695,383.0455803667245
-0.00542487350249693,112.63469408917629
-0.0311089373954489,138.8073418347004
0.19808777069788513,116.95151236658762
0.026051853732404096,134.2909940527557
-0.17599650213275744,181.34480148416523
0.0003330937126275191,112.90585529232278
0.0780529022000577,103.42284597571177
-0.35164834903741976,256.2087904039966
-0.30796252925888307,218.92622949275895
-0.6935483219922177,338.16126974954057
-0.06001333571475548,125.62895439027649
-0.4238410395609859,237.79469739138904
0.12183832654800018,108.66750488819639
-0.8663967616989251,401.6572201324302
-0.2197452342890922,217.32165979433012
-0.1466905275399083,178.0161026789845
0.011168383875488519,125.01317255597864
0.18151338871518136,84.12548666228071
0.4227543991311733,23.738145382079946
-0.32332555356835113,186.18474312101978
0.2974073620901623,29.79219487830793
-0.08845876175486887,143.57409518975584
0.04844291578451371,81.23529162342045
0.11981953489073813,68.00647052919919
0.006388712137866459,105.38553230622237
-0.07387040813751222,123.32932416875273
0.1656293313998359,63.99985285642678
0.09771082467245583,81.59455053442746
0.008938691465344754,89.16129354556054
-0.13026634079202362,144.68329197255582
-0.07099167175499126,121.14144674976765
0.022850667135777103,108.38514561880041
